Network,Station,Latitude,Longitude,Elevation_m,Site
AK,L20K,62.4787,-153.8798,673.0,"Farewell, AK, USA"
AK,L22K,62.5258,-150.7703,817.0,"Petersville, AK, USA"
AK,L26K,63.0254,-143.3478,650.0,"Log Cabin Wilderness Lodge, Tok, AK, USA"
AK,LOGN,60.824,-141.0048,1663.1,"Logan Glacier, AK, USA"
AK,M110,63.3055,-148.1869,792.0,"Denali Highway 25 miles E of Cantwell, AK, USA"
AK,M11K,60.3849,-166.2011,3.0,"Mekoryuk, AK, USA"
AK,M14K,60.7515,-161.96,19.0,"Bethel, AK, USA"
AK,M16K,61.0224,-158.9593,394.0,"Timber Creek, AK, USA"
AK,M19K,61.9037,-154.3915,521.0,"Big River Lodge, Big River, AK, USA"
AK,M20K,61.8823,-153.1318,1107.0,"Styx River, AK, USA"
AK,M23K,61.7929,-147.7262,583.0,"Glacier View, AK, USA"
AK,M26K,62.4013,-142.9963,888.0,"Nabesna, AK, USA"
AK,M27K,62.3579,-141.878,1536.0,"Edge Creek, AK, USA"
AK,MCAR,61.3836,-143.024,511.0,"McCarthy VSAT, AK, USA"
AK,MCAR,61.3836,-143.024,447.0,"McCarthy VSAT, AK, USA"
AK,MCK,63.7318,-148.9373,618.0,"McKinley Park, AK, USA"
AK,MCNT,64.8413,-147.8994,246.0,"Yak Road, Fairbanks, AK, USA"
AK,MDM,64.9602,-148.2319,631.0,"Murphy Dome, AK, USA"
AK,MEN,62.9096,-143.7952,713.8,"Mentasta Lake West, AK, USA"
AK,MEN1,62.928,-143.6452,718.0,"Mentasta Lake 1, AK, USA"
AK,MESA,60.1785,-141.9505,1919.0,"Mesa, AK, USA"
AK,MESA,60.1782,-141.9498,1907.0,"Mesa, AK, USA"
AK,MLR,62.816,-145.497,846.0,"Meier's Lake Roadhouse, AK, USA"
AK,MLY,65.0304,-150.7442,812.0,"Manley Hot Springs, AK, USA"
AK,MS01,61.5802,-149.4946,109.0,"Burchell High School, Wasilla (established by UAA)"
AK,MS02,61.5904,-149.7689,74.0,"Houston High School, Houston (established by UAA)"
AK,MS03,61.6091,-149.305,112.0,"Finger Lake School, Wasilla (established by UAA)"
AK,N15K,60.1686,-160.0921,449.0,"Kwethluk River, AK, USA"
AK,N18K,60.6801,-155.8897,572.0,"Kilae Creek, AK, USA"
AK,N19K,60.8132,-154.4838,1144.0,"Bonanza Creek NPS repeater, AK, USA"
AK,NEA,64.5922,-149.0706,456.0,"Nenana, AK, USA"
AK,NEA2,64.5928,-149.0694,450.0,"Nenana, AK, USA"
AK,NEB1,62.411,-143.0054,870.3,"End of Nabesna Road, AK, USA"
AK,NEB2,62.565,-143.4481,962.8,"Nabesna Road 2, AK, USA"
AK,NICH,60.2357,-143.9713,485.0,"Nichawak Mountain, AK, USA"
AK,NIKH,52.9721,-168.855,199.0,"Nikolski High Hill, AK, USA"
AK,NIKI,60.6726,-151.3523,41.0,"Nikiski AGDC plant, AK, USA"
AK,NIKO,52.9378,-168.8687,8.0,"Nikolski, AK, USA"
AK,NKA,60.7425,-151.2395,447.7,"Nikiski, AK, USA"
AK,NOTK,67.5795,-162.9714,24.0,"Noatak, AK, USA"
AK,NTW1,63.2321,-142.2979,533.0,"Midway Lake, AK, USA"
AK,NTW3,62.9618,-141.9353,522.0,"FAA, Northway village, AK, USA"
AK,NTW4,62.6719,-141.0689,593.0,"Northway junction, AK, USA"
AK,O14K,59.2533,-161.2638,129.0,"Tigyukauivet Mountain, AK, USA"
AK,O18K,59.8542,-155.208,544.0,"Koktuh Hills, AK, USA"
AK,O19K,60.1952,-154.3201,96.0,"Port Alsworth, AK, USA"
AK,O20K,60.0815,-152.624,915.0,"Slope Mountain, AK, USA"
AK,P08K,56.6011,-169.5484,36.0,"Saint George Island, AK, USA"
AK,P16K,59.0314,-157.9906,85.9,"Nushagak River, AK, USA"
